,time,value
387,2021051703,89.25
388,2021051704,89.87
389,2021051705,86.549995
390,2021051706,72.12
391,2021051707,53.309998
392,2021051708,43.309998
393,2021051709,55.5
394,2021051710,56.829998
395,2021051711,57.159996
396,2021051712,61.52
397,2021051713,72.340004
398,2021051714,68.060005
399,2021051715,67.44
400,2021051716,63.44
401,2021051717,55.97
402,2021051718,55.08
403,2021051719,74.04
404,2021051720,79.2
405,2021051721,85.82
406,2021051722,91.53
407,2021051723,98.189995
408,2021051800,100.41
409,2021051801,98.549995
410,2021051802,98.23
411,2021051803,95.63
412,2021051804,91.82
413,2021051805,89.299995
414,2021051806,82.229996
415,2021051807,67.75
416,2021051808,51.969997
417,2021051809,68.600006
418,2021051810,70.61
419,2021051811,65.95
420,2021051812,73.61
421,2021051813,71.9
422,2021051814,65.01
423,2021051815,63.499996
424,2021051816,59.329998
425,2021051817,60.75
426,2021051818,50.94
427,2021051819,54.99
428,2021051820,75.83
429,2021051821,81.729996
430,2021051822,86.799995
431,2021051823,96.27
432,2021051900,100.41
433,2021051901,101.659996
434,2021051902,101.869995
435,2021051903,96.52
436,2021051904,94.2
437,2021051905,94.38
438,2021051906,91.76
439,2021051907,91.439995
440,2021051908,88.23
441,2021051909,82.81
442,2021051910,82.02
443,2021051911,83.31
444,2021051912,83.41
445,2021051913,82.15
446,2021051914,81.630005
447,2021051915,80.200005
448,2021051916,75.200005
449,2021051917,68.28
450,2021051918,79.27
451,2021051919,87.229996
452,2021051920,82.81
453,2021051921,85.74
454,2021051922,89.63999
455,2021051923,99.0
456,2021052000,102.53999
457,2021052001,99.99999
458,2021052002,98.03999
459,2021052003,94.87
460,2021052004,92.899994
461,2021052005,88.979996
462,2021052006,77.0
463,2021052007,61.199997
464,2021052008,53.14
465,2021052009,56.960003
466,2021052010,58.37
467,2021052011,61.420002
468,2021052012,71.380005
469,2021052013,71.6
470,2021052014,67.48
471,2021052015,67.14
472,2021052016,57.27
473,2021052017,59.18
474,2021052018,50.170002
475,2021052019,55.14
476,2021052020,70.97
477,2021052021,77.71
478,2021052022,82.37
479,2021052023,92.829994
480,2021052100,92.95
481,2021052101,94.70999
482,2021052102,88.329994
483,2021052103,87.18
484,2021052104,84.96
485,2021052105,82.13
486,2021052106,71.1
487,2021052107,60.489998
488,2021052108,61.03
489,2021052109,59.34
490,2021052110,59.190002
491,2021052111,58.63
492,2021052112,72.69
493,2021052113,72.18
494,2021052114,66.17
495,2021052115,57.31
496,2021052116,56.57
497,2021052117,59.399998
498,2021052118,52.339996
499,2021052119,63.66
500,2021052120,78.04
501,2021052121,82.01
502,2021052122,86.57
503,2021052123,95.42
504,2021052200,99.71
505,2021052201,102.06999
506,2021052202,97.74999
507,2021052203,96.05999
508,2021052204,94.909996
509,2021052205,94.92999
510,2021052206,90.27
511,2021052207,89.799995
512,2021052208,82.95
513,2021052209,76.03
514,2021052210,73.71
515,2021052211,77.340004
516,2021052212,77.85
517,2021052213,74.96
518,2021052214,78.0
519,2021052215,73.28
520,2021052216,73.38
521,2021052217,61.57
522,2021052218,74.22
523,2021052219,85.02
524,2021052220,82.65
525,2021052221,83.6
526,2021052222,88.439995
527,2021052223,96.619995
528,2021052300,99.84
529,2021052301,102.08
530,2021052302,103.93957
531,2021052303,100.870155
532,2021052304,100.21506
533,2021052305,88.559074
534,2021052306,79.66403
535,2021052307,73.15949
536,2021052308,61.665073
537,2021052309,67.81144
538,2021052310,68.57374
539,2021052311,70.67504
540,2021052312,71.27768
541,2021052313,65.8154
542,2021052314,58.374367
543,2021052315,56.652916
544,2021052316,56.46988
545,2021052317,56.858704
546,2021052318,63.06671
547,2021052319,65.59753
548,2021052320,70.19833
549,2021052321,83.42165
550,2021052322,88.0089
551,2021052323,93.703186
552,2021052400,97.54044
553,2021052401,96.91315
554,2021052402,94.897896
555,2021052403,91.371635
556,2021052404,86.90005
557,2021052405,79.81422
558,2021052406,67.48799
559,2021052407,53.424953
560,2021052408,53.749996
561,2021052409,57.98
562,2021052410,70.740005
563,2021052411,76.17
564,2021052412,77.520004
565,2021052413,75.82
566,2021052414,73.590004
567,2021052415,73.76
568,2021052416,63.25
569,2021052417,63.969997
570,2021052418,54.479996
571,2021052419,67.79
572,2021052420,78.53001
573,2021052421,87.15
574,2021052422,92.29
575,2021052423,97.78
576,2021052500,100.35
577,2021052501,98.32
